﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2)
 ID,PARAM,MM--YYYY,Value
08MF005,2,01--1929,3.149
08MF005,2,02--1929,3.113
08MF005,2,03--1929,3.127
08MF005,2,04--1929,3.362
08MF005,2,05--1929,5.073
08MF005,2,06--1929,7.011
08MF005,2,07--1929,5.929
08MF005,2,08--1929,5.241
08MF005,2,09--1929,4.539
08MF005,2,10--1929,4.095
08MF005,2,11--1929,
08MF005,2,12--1929,3.526
08MF005,2,01--1930,3.750
08MF005,2,02--1930,3.534
08MF005,2,03--1930,3.325
08MF005,2,04--1930,4.441
08MF005,2,05--1930,5.561
08MF005,2,06--1930,7.032
08MF005,2,07--1930,6.580
08MF005,2,08--1930,5.342
08MF005,2,09--1930,4.743
08MF005,2,10--1930,4.177
08MF005,2,11--1930,3.946
08MF005,2,12--1930,3.608
08MF005,2,01--1931,3.513
08MF005,2,02--1931,3.437
08MF005,2,03--1931,3.488
08MF005,2,04--1931,3.895
08MF005,2,05--1931,5.990
08MF005,2,06--1931,6.965
08MF005,2,07--1931,6.495
08MF005,2,08--1931,5.231
08MF005,2,09--1931,4.735
08MF005,2,10--1931,4.565
08MF005,2,11--1931,4.118
08MF005,2,12--1931,3.646
08MF005,2,01--1932,3.452
08MF005,2,02--1932,3.438
08MF005,2,03--1932,3.722
08MF005,2,04--1932,
08MF005,2,05--1932,
08MF005,2,06--1932,
08MF005,2,07--1932,
08MF005,2,08--1932,5.799
08MF005,2,09--1932,4.867
08MF005,2,10--1932,
08MF005,2,11--1932,4.407
08MF005,2,12--1932,4.113
08MF005,2,01--1933,3.718
08MF005,2,02--1933,3.461
08MF005,2,03--1933,3.365
08MF005,2,04--1933,3.883
08MF005,2,05--1933,6.458
08MF005,2,06--1933,8.013
08MF005,2,07--1933,8.017
08MF005,2,08--1933,
08MF005,2,09--1933,
08MF005,2,10--1933,4.671
08MF005,2,11--1933,5.224
08MF005,2,12--1933,4.364
08MF005,2,01--1934,4.067
08MF005,2,02--1934,4.081
08MF005,2,03--1934,3.973
08MF005,2,04--1934,5.473
08MF005,2,05--1934,7.407
08MF005,2,06--1934,
08MF005,2,07--1934,6.439
08MF005,2,08--1934,5.671
08MF005,2,09--1934,5.071
08MF005,2,10--1934,4.944
08MF005,2,11--1934,4.922
08MF005,2,12--1934,4.060
08MF005,2,01--1935,3.960
08MF005,2,02--1935,4.248
08MF005,2,03--1935,3.818
08MF005,2,04--1935,3.908
08MF005,2,05--1935,6.317
08MF005,2,06--1935,7.670
08MF005,2,07--1935,7.322
08MF005,2,08--1935,5.705
08MF005,2,09--1935,4.822
08MF005,2,10--1935,4.260
08MF005,2,11--1935,3.964
08MF005,2,12--1935,3.757
08MF005,2,01--1936,3.457
08MF005,2,02--1936,3.387
08MF005,2,03--1936,3.345
08MF005,2,04--1936,4.201
08MF005,2,05--1936,7.173
08MF005,2,06--1936,7.745
08MF005,2,07--1936,6.541
08MF005,2,08--1936,5.343
08MF005,2,09--1936,4.730
08MF005,2,10--1936,4.659
08MF005,2,11--1936,4.502
08MF005,2,12--1936,4.078
08MF005,2,01--1937,3.880
08MF005,2,02--1937,3.869
08MF005,2,03--1937,
08MF005,2,04--1937,4.085
08MF005,2,05--1937,5.888
08MF005,2,06--1937,7.522
08MF005,2,07--1937,6.629
08MF005,2,08--1937,5.483
08MF005,2,09--1937,4.969
08MF005,2,10--1937,
08MF005,2,11--1937,4.441
08MF005,2,12--1937,3.784
08MF005,2,01--1938,3.591
08MF005,2,02--1938,3.350
08MF005,2,03--1938,3.442
08MF005,2,04--1938,4.094
08MF005,2,05--1938,5.798
08MF005,2,06--1938,
08MF005,2,07--1938,6.169
08MF005,2,08--1938,4.927
08MF005,2,09--1938,4.683
08MF005,2,10--1938,
08MF005,2,11--1938,
08MF005,2,12--1938,
08MF005,2,01--1939,3.475
08MF005,2,02--1939,3.258
08MF005,2,03--1939,3.407
08MF005,2,04--1939,4.709
08MF005,2,05--1939,7.081
08MF005,2,06--1939,7.453
08MF005,2,07--1939,6.933
08MF005,2,08--1939,5.685
08MF005,2,09--1939,4.806
08MF005,2,10--1939,4.711
08MF005,2,11--1939,4.673
08MF005,2,12--1939,4.945
08MF005,2,01--1940,
08MF005,2,02--1940,
08MF005,2,03--1940,
08MF005,2,04--1940,
08MF005,2,05--1940,
08MF005,2,06--1940,
08MF005,2,07--1940,
08MF005,2,08--1940,
08MF005,2,09--1940,
08MF005,2,10--1940,4.525
08MF005,2,11--1940,3.998
08MF005,2,12--1940,3.687
08MF005,2,01--1941,3.569
08MF005,2,02--1941,3.548
08MF005,2,03--1941,3.596
08MF005,2,04--1941,4.918
08MF005,2,05--1941,5.748
08MF005,2,06--1941,6.433
08MF005,2,07--1941,6.033
08MF005,2,08--1941,5.134
08MF005,2,09--1941,5.109
08MF005,2,10--1941,5.576
08MF005,2,11--1941,
08MF005,2,12--1941,4.342
08MF005,2,01--1942,3.708
08MF005,2,02--1942,3.481
08MF005,2,03--1942,3.350
08MF005,2,04--1942,4.033
08MF005,2,05--1942,5.613
08MF005,2,06--1942,7.125
08MF005,2,07--1942,6.407
08MF005,2,08--1942,5.415
08MF005,2,09--1942,4.524
08MF005,2,10--1942,4.259
08MF005,2,11--1942,3.850
08MF005,2,12--1942,3.675
08MF005,2,01--1943,3.508
08MF005,2,02--1943,3.472
08MF005,2,03--1943,3.333
08MF005,2,04--1943,4.637
08MF005,2,05--1943,5.387
08MF005,2,06--1943,6.968
08MF005,2,07--1943,6.991
08MF005,2,08--1943,5.639
08MF005,2,09--1943,4.631
08MF005,2,10--1943,4.175
08MF005,2,11--1943,3.720
08MF005,2,12--1943,3.393
08MF005,2,01--1944,3.346
08MF005,2,02--1944,3.284
08MF005,2,03--1944,3.271
08MF005,2,04--1944,4.247
08MF005,2,05--1944,5.492
08MF005,2,06--1944,6.760
08MF005,2,07--1944,5.731
08MF005,2,08--1944,5.442
08MF005,2,09--1944,4.957
08MF005,2,10--1944,4.778
08MF005,2,11--1944,4.355
08MF005,2,12--1944,3.747
08MF005,2,01--1945,3.583
08MF005,2,02--1945,3.446
08MF005,2,03--1945,3.325
08MF005,2,04--1945,3.606
08MF005,2,05--1945,5.962
08MF005,2,06--1945,7.474
08MF005,2,07--1945,6.092
08MF005,2,08--1945,5.027
08MF005,2,09--1945,4.398
08MF005,2,10--1945,4.058
08MF005,2,11--1945,3.739
08MF005,2,12--1945,3.466
08MF005,2,01--1946,3.339
08MF005,2,02--1946,3.251
08MF005,2,03--1946,3.346
08MF005,2,04--1946,3.829
08MF005,2,05--1946,7.221
08MF005,2,06--1946,8.015
08MF005,2,07--1946,6.832
08MF005,2,08--1946,5.455
08MF005,2,09--1946,4.445
08MF005,2,10--1946,3.785
08MF005,2,11--1946,3.458
08MF005,2,12--1946,3.403
08MF005,2,01--1947,3.298
08MF005,2,02--1947,3.300
08MF005,2,03--1947,3.447
08MF005,2,04--1947,4.605
08MF005,2,05--1947,6.902
08MF005,2,06--1947,7.859
08MF005,2,07--1947,6.890
08MF005,2,08--1947,5.444
08MF005,2,09--1947,4.699
08MF005,2,10--1947,4.664
08MF005,2,11--1947,4.231
08MF005,2,12--1947,3.804
08MF005,2,01--1948,3.704
08MF005,2,02--1948,3.426
08MF005,2,03--1948,3.357
08MF005,2,04--1948,3.692
08MF005,2,05--1948,7.233
08MF005,2,06--1948,9.367
08MF005,2,07--1948,6.773
08MF005,2,08--1948,6.455
08MF005,2,09--1948,5.724
08MF005,2,10--1948,5.059
08MF005,2,11--1948,4.374
08MF005,2,12--1948,
08MF005,2,01--1949,
08MF005,2,02--1949,
08MF005,2,03--1949,3.488
08MF005,2,04--1949,4.732
08MF005,2,05--1949,7.396
08MF005,2,06--1949,7.311
08MF005,2,07--1949,6.144
08MF005,2,08--1949,5.718
08MF005,2,09--1949,4.763
08MF005,2,10--1949,
08MF005,2,11--1949,4.542
08MF005,2,12--1949,
08MF005,2,01--1950,
08MF005,2,02--1950,
08MF005,2,03--1950,
08MF005,2,04--1950,3.760
08MF005,2,05--1950,6.083
08MF005,2,06--1950,8.447
08MF005,2,07--1950,7.472
08MF005,2,08--1950,5.612
08MF005,2,09--1950,4.779
08MF005,2,10--1950,4.356
08MF005,2,11--1950,4.300
08MF005,2,12--1950,4.117
08MF005,2,01--1951,
08MF005,2,02--1951,
08MF005,2,03--1951,3.449
08MF005,2,04--1951,4.391
08MF005,2,05--1951,7.120
08MF005,2,06--1951,7.166
08MF005,2,07--1951,6.639
08MF005,2,08--1951,5.238
08MF005,2,09--1951,4.327
08MF005,2,10--1951,4.042
08MF005,2,11--1951,3.883
08MF005,2,12--1951,3.550
08MF005,2,01--1952,
08MF005,2,02--1952,3.391
08MF005,2,03--1952,3.276
08MF005,2,04--1952,4.278
08MF005,2,05--1952,6.830
08MF005,2,06--1952,7.486
08MF005,2,07--1952,6.944
08MF005,2,08--1952,5.465
08MF005,2,09--1952,4.589
08MF005,2,10--1952,4.255
08MF005,2,11--1952,3.691
08MF005,2,12--1952,3.307
08MF005,2,01--1953,3.354
08MF005,2,02--1953,3.422
08MF005,2,03--1953,3.290
08MF005,2,04--1953,3.637
08MF005,2,05--1953,6.438
08MF005,2,06--1953,7.047
08MF005,2,07--1953,6.379
08MF005,2,08--1953,5.191
08MF005,2,09--1953,4.838
08MF005,2,10--1953,4.596
08MF005,2,11--1953,4.613
08MF005,2,12--1953,4.019
08MF005,2,01--1954,
08MF005,2,02--1954,
08MF005,2,03--1954,3.519
08MF005,2,04--1954,3.547
08MF005,2,05--1954,5.818
08MF005,2,06--1954,7.805
08MF005,2,07--1954,7.583
08MF005,2,08--1954,6.169
08MF005,2,09--1954,5.469
08MF005,2,10--1954,4.952
08MF005,2,11--1954,5.047
08MF005,2,12--1954,4.466
08MF005,2,01--1955,3.890
08MF005,2,02--1955,3.695
08MF005,2,03--1955,
08MF005,2,04--1955,4.033
08MF005,2,05--1955,5.562
08MF005,2,06--1955,7.940
08MF005,2,07--1955,7.920
08MF005,2,08--1955,6.133
08MF005,2,09--1955,4.722
08MF005,2,10--1955,4.321
08MF005,2,11--1955,3.994
08MF005,2,12--1955,
08MF005,2,01--1956,
08MF005,2,02--1956,
08MF005,2,03--1956,3.300
08MF005,2,04--1956,4.252
08MF005,2,05--1956,6.814
08MF005,2,06--1956,7.862
08MF005,2,07--1956,6.444
08MF005,2,08--1956,5.121
08MF005,2,09--1956,4.504
08MF005,2,10--1956,4.453
08MF005,2,11--1956,4.081
08MF005,2,12--1956,
08MF005,2,01--1957,
08MF005,2,02--1957,
08MF005,2,03--1957,
08MF005,2,04--1957,4.158
08MF005,2,05--1957,8.023
08MF005,2,06--1957,7.394
08MF005,2,07--1957,6.256
08MF005,2,08--1957,5.568
08MF005,2,09--1957,5.006
08MF005,2,10--1957,4.263
08MF005,2,11--1957,4.359
08MF005,2,12--1957,4.187
08MF005,2,01--1958,4.020
08MF005,2,02--1958,3.899
08MF005,2,03--1958,3.970
08MF005,2,04--1958,
08MF005,2,05--1958,7.153
08MF005,2,06--1958,7.681
08MF005,2,07--1958,6.122
08MF005,2,08--1958,5.142
08MF005,2,09--1958,4.801
08MF005,2,10--1958,5.190
08MF005,2,11--1958,4.282
08MF005,2,12--1958,
08MF005,2,01--1959,
08MF005,2,02--1959,3.576
08MF005,2,03--1959,3.558
08MF005,2,04--1959,4.213
08MF005,2,05--1959,6.323
08MF005,2,06--1959,7.709
08MF005,2,07--1959,7.184
08MF005,2,08--1959,5.714
08MF005,2,09--1959,5.947
08MF005,2,10--1959,5.552
08MF005,2,11--1959,5.141
08MF005,2,12--1959,4.448
08MF005,2,01--1960,3.919
08MF005,2,02--1960,3.790
08MF005,2,03--1960,3.722
08MF005,2,04--1960,4.941
08MF005,2,05--1960,6.126
08MF005,2,06--1960,7.477
08MF005,2,07--1960,7.478
08MF005,2,08--1960,5.717
08MF005,2,09--1960,5.241
08MF005,2,10--1960,5.064
08MF005,2,11--1960,
08MF005,2,12--1960,
08MF005,2,01--1961,
08MF005,2,02--1961,
08MF005,2,03--1961,3.739
08MF005,2,04--1961,4.593
08MF005,2,05--1961,6.486
08MF005,2,06--1961,7.822
08MF005,2,07--1961,6.108
08MF005,2,08--1961,5.187
08MF005,2,09--1961,4.994
08MF005,2,10--1961,5.000
08MF005,2,11--1961,4.297
08MF005,2,12--1961,3.648
08MF005,2,01--1962,3.795
08MF005,2,02--1962,4.062
08MF005,2,03--1962,3.550
08MF005,2,04--1962,4.735
08MF005,2,05--1962,5.879
08MF005,2,06--1962,7.447
08MF005,2,07--1962,7.013
08MF005,2,08--1962,6.143
08MF005,2,09--1962,5.010
08MF005,2,10--1962,4.871
08MF005,2,11--1962,5.008
08MF005,2,12--1962,
08MF005,2,01--1963,3.949
08MF005,2,02--1963,4.237
08MF005,2,03--1963,4.085
08MF005,2,04--1963,4.573
08MF005,2,05--1963,6.063
08MF005,2,06--1963,7.297
08MF005,2,07--1963,6.546
08MF005,2,08--1963,5.579
08MF005,2,09--1963,5.118
08MF005,2,10--1963,4.778
08MF005,2,11--1963,4.232
08MF005,2,12--1963,3.941
08MF005,2,01--1964,
08MF005,2,02--1964,3.664
08MF005,2,03--1964,3.525
08MF005,2,04--1964,4.111
08MF005,2,05--1964,5.876
08MF005,2,06--1964,9.043
08MF005,2,07--1964,7.965
08MF005,2,08--1964,6.519
08MF005,2,09--1964,5.495
08MF005,2,10--1964,5.570
08MF005,2,11--1964,4.689
08MF005,2,12--1964,
08MF005,2,01--1965,
08MF005,2,02--1965,3.829
08MF005,2,03--1965,3.822
08MF005,2,04--1965,4.569
08MF005,2,05--1965,6.650
08MF005,2,06--1965,7.770
08MF005,2,07--1965,6.556
08MF005,2,08--1965,5.690
08MF005,2,09--1965,4.723
08MF005,2,10--1965,4.762
08MF005,2,11--1965,4.510
08MF005,2,12--1965,3.899
08MF005,2,01--1966,
08MF005,2,02--1966,3.602
08MF005,2,03--1966,3.618
08MF005,2,04--1966,4.881
08MF005,2,05--1966,6.642
08MF005,2,06--1966,7.597
08MF005,2,07--1966,7.026
08MF005,2,08--1966,5.826
08MF005,2,09--1966,4.928
08MF005,2,10--1966,4.826
08MF005,2,11--1966,4.310
08MF005,2,12--1966,4.179
08MF005,2,01--1967,
08MF005,2,02--1967,
08MF005,2,03--1967,
08MF005,2,04--1967,4.031
08MF005,2,05--1967,6.705
08MF005,2,06--1967,8.949
08MF005,2,07--1967,7.334
08MF005,2,08--1967,5.665
08MF005,2,09--1967,4.832
08MF005,2,10--1967,4.633
08MF005,2,11--1967,4.598
08MF005,2,12--1967,3.970
08MF005,2,01--1968,
08MF005,2,02--1968,4.147
08MF005,2,03--1968,4.456
08MF005,2,04--1968,4.403
08MF005,2,05--1968,6.579
08MF005,2,06--1968,8.017
08MF005,2,07--1968,7.674
08MF005,2,08--1968,5.803
08MF005,2,09--1968,5.379
08MF005,2,10--1968,4.912
08MF005,2,11--1968,4.791
08MF005,2,12--1968,
08MF005,2,01--1969,
08MF005,2,02--1969,3.820
08MF005,2,03--1969,3.565
08MF005,2,04--1969,4.791
08MF005,2,05--1969,6.602
08MF005,2,06--1969,7.338
08MF005,2,07--1969,6.033
08MF005,2,08--1969,5.428
08MF005,2,09--1969,5.134
08MF005,2,10--1969,4.952
08MF005,2,11--1969,4.577
08MF005,2,12--1969,4.121
08MF005,2,01--1970,3.672
08MF005,2,02--1970,
08MF005,2,03--1970,3.620
08MF005,2,04--1970,4.061
08MF005,2,05--1970,5.666
08MF005,2,06--1970,7.355
08MF005,2,07--1970,5.807
08MF005,2,08--1970,4.898
08MF005,2,09--1970,4.411
08MF005,2,10--1970,4.173
08MF005,2,11--1970,3.674
08MF005,2,12--1970,3.452
08MF005,2,01--1971,
08MF005,2,02--1971,3.696
08MF005,2,03--1971,3.493
08MF005,2,04--1971,4.110
08MF005,2,05--1971,7.127
08MF005,2,06--1971,7.849
08MF005,2,07--1971,
08MF005,2,08--1971,5.590
08MF005,2,09--1971,4.791
08MF005,2,10--1971,4.439
08MF005,2,11--1971,
08MF005,2,12--1971,
08MF005,2,01--1972,
08MF005,2,02--1972,
08MF005,2,03--1972,4.074
08MF005,2,04--1972,4.603
08MF005,2,05--1972,7.180
08MF005,2,06--1972,
08MF005,2,07--1972,7.699
08MF005,2,08--1972,5.930
08MF005,2,09--1972,4.728
08MF005,2,10--1972,4.476
08MF005,2,11--1972,4.110
08MF005,2,12--1972,3.648
08MF005,2,01--1973,3.711
08MF005,2,02--1973,3.494
08MF005,2,03--1973,3.505
08MF005,2,04--1973,4.146
08MF005,2,05--1973,6.356
08MF005,2,06--1973,7.100
08MF005,2,07--1973,
08MF005,2,08--1973,5.175
08MF005,2,09--1973,4.276
08MF005,2,10--1973,4.578
08MF005,2,11--1973,4.193
08MF005,2,12--1973,3.794
08MF005,2,01--1974,3.631
08MF005,2,02--1974,3.591
08MF005,2,03--1974,3.586
08MF005,2,04--1974,4.709
08MF005,2,05--1974,6.941
08MF005,2,06--1974,8.222
08MF005,2,07--1974,7.782
08MF005,2,08--1974,6.058
08MF005,2,09--1974,4.845
08MF005,2,10--1974,4.468
08MF005,2,11--1974,
08MF005,2,12--1974,3.639
08MF005,2,01--1975,3.436
08MF005,2,02--1975,3.421
08MF005,2,03--1975,3.369
08MF005,2,04--1975,3.728
08MF005,2,05--1975,5.799
08MF005,2,06--1975,7.447
08MF005,2,07--1975,7.037
08MF005,2,08--1975,5.501
08MF005,2,09--1975,4.743
08MF005,2,10--1975,4.482
08MF005,2,11--1975,4.784
08MF005,2,12--1975,4.104
08MF005,2,01--1976,3.804
08MF005,2,02--1976,3.697
08MF005,2,03--1976,3.584
08MF005,2,04--1976,4.703
08MF005,2,05--1976,7.559
08MF005,2,06--1976,7.655
08MF005,2,07--1976,7.880
08MF005,2,08--1976,7.240
08MF005,2,09--1976,6.119
08MF005,2,10--1976,4.901
08MF005,2,11--1976,4.373
08MF005,2,12--1976,4.108
08MF005,2,01--1977,3.893
08MF005,2,02--1977,3.890
08MF005,2,03--1977,3.792
08MF005,2,04--1977,4.730
08MF005,2,05--1977,6.284
08MF005,2,06--1977,6.821
08MF005,2,07--1977,6.353
08MF005,2,08--1977,5.621
08MF005,2,09--1977,4.773
08MF005,2,10--1977,4.250
08MF005,2,11--1977,3.903
08MF005,2,12--1977,3.692
08MF005,2,01--1978,3.511
08MF005,2,02--1978,3.379
08MF005,2,03--1978,3.549
08MF005,2,04--1978,4.469
08MF005,2,05--1978,5.803
08MF005,2,06--1978,6.784
08MF005,2,07--1978,6.135
08MF005,2,08--1978,5.204
08MF005,2,09--1978,4.960
08MF005,2,10--1978,4.584
08MF005,2,11--1978,4.153
08MF005,2,12--1978,3.637
08MF005,2,01--1979,3.845
08MF005,2,02--1979,3.366
08MF005,2,03--1979,3.559
08MF005,2,04--1979,3.875
08MF005,2,05--1979,6.339
08MF005,2,06--1979,7.115
08MF005,2,07--1979,6.309
08MF005,2,08--1979,4.969
08MF005,2,09--1979,4.373
08MF005,2,10--1979,4.023
08MF005,2,11--1979,3.517
08MF005,2,12--1979,3.543
08MF005,2,01--1980,
08MF005,2,02--1980,3.201
08MF005,2,03--1980,3.278
08MF005,2,04--1980,4.218
08MF005,2,05--1980,6.459
08MF005,2,06--1980,6.340
08MF005,2,07--1980,5.840
08MF005,2,08--1980,5.045
08MF005,2,09--1980,4.960
08MF005,2,10--1980,4.559
08MF005,2,11--1980,4.212
08MF005,2,12--1980,4.348
08MF005,2,01--1981,4.309
08MF005,2,02--1981,4.019
08MF005,2,03--1981,3.865
08MF005,2,04--1981,4.309
08MF005,2,05--1981,6.246
08MF005,2,06--1981,6.997
08MF005,2,07--1981,6.250
08MF005,2,08--1981,5.500
08MF005,2,09--1981,4.511
08MF005,2,10--1981,4.062
08MF005,2,11--1981,4.380
08MF005,2,12--1981,3.708
08MF005,2,01--1982,3.425
08MF005,2,02--1982,3.503
08MF005,2,03--1982,3.415
08MF005,2,04--1982,3.567
08MF005,2,05--1982,6.464
08MF005,2,06--1982,8.257
08MF005,2,07--1982,7.513
08MF005,2,08--1982,6.216
08MF005,2,09--1982,5.481
08MF005,2,10--1982,4.643
08MF005,2,11--1982,3.990
08MF005,2,12--1982,3.680
08MF005,2,01--1983,3.545
08MF005,2,02--1983,3.553
08MF005,2,03--1983,3.807
08MF005,2,04--1983,4.395
08MF005,2,05--1983,5.776
08MF005,2,06--1983,6.894
08MF005,2,07--1983,6.441
08MF005,2,08--1983,5.395
08MF005,2,09--1983,4.571
08MF005,2,10--1983,4.006
08MF005,2,11--1983,4.453
08MF005,2,12--1983,3.616
08MF005,2,01--1984,3.728
08MF005,2,02--1984,3.592
08MF005,2,03--1984,3.719
08MF005,2,04--1984,4.433
08MF005,2,05--1984,5.014
08MF005,2,06--1984,7.047
08MF005,2,07--1984,7.164
08MF005,2,08--1984,5.586
08MF005,2,09--1984,5.054
08MF005,2,10--1984,4.802
08MF005,2,11--1984,3.921
08MF005,2,12--1984,3.468
08MF005,2,01--1985,3.414
08MF005,2,02--1985,3.259
08MF005,2,03--1985,3.363
08MF005,2,04--1985,4.432
08MF005,2,05--1985,6.399
08MF005,2,06--1985,7.589
08MF005,2,07--1985,
08MF005,2,08--1985,
08MF005,2,09--1985,4.379
08MF005,2,10--1985,4.394
08MF005,2,11--1985,3.800
08MF005,2,12--1985,3.413
08MF005,2,01--1986,3.367
08MF005,2,02--1986,3.342
08MF005,2,03--1986,3.833
08MF005,2,04--1986,4.481
08MF005,2,05--1986,5.544
08MF005,2,06--1986,8.102
08MF005,2,07--1986,6.517
08MF005,2,08--1986,5.242
08MF005,2,09--1986,4.321
08MF005,2,10--1986,4.000
08MF005,2,11--1986,3.894
08MF005,2,12--1986,3.480
08MF005,2,01--1987,3.576
08MF005,2,02--1987,3.520
08MF005,2,03--1987,3.860
08MF005,2,04--1987,4.610
08MF005,2,05--1987,6.372
08MF005,2,06--1987,6.774
08MF005,2,07--1987,5.766
08MF005,2,08--1987,5.081
08MF005,2,09--1987,4.173
08MF005,2,10--1987,3.589
08MF005,2,11--1987,
08MF005,2,12--1987,
08MF005,2,01--1988,3.158
08MF005,2,02--1988,3.141
08MF005,2,03--1988,3.359
08MF005,2,04--1988,4.611
08MF005,2,05--1988,6.546
08MF005,2,06--1988,6.831
08MF005,2,07--1988,5.981
08MF005,2,08--1988,5.119
08MF005,2,09--1988,4.331
08MF005,2,10--1988,4.071
08MF005,2,11--1988,3.997
08MF005,2,12--1988,3.490
08MF005,2,01--1989,3.343
08MF005,2,02--1989,3.267
08MF005,2,03--1989,3.181
08MF005,2,04--1989,4.177
08MF005,2,05--1989,6.229
08MF005,2,06--1989,6.864
08MF005,2,07--1989,5.723
08MF005,2,08--1989,5.221
08MF005,2,09--1989,4.302
08MF005,2,10--1989,3.931
08MF005,2,11--1989,4.455
08MF005,2,12--1989,3.939
08MF005,2,01--1990,
08MF005,2,02--1990,
08MF005,2,03--1990,3.500
08MF005,2,04--1990,5.050
08MF005,2,05--1990,6.331
08MF005,2,06--1990,8.295
08MF005,2,07--1990,6.996
08MF005,2,08--1990,5.318
08MF005,2,09--1990,4.261
08MF005,2,10--1990,4.051
08MF005,2,11--1990,4.488
08MF005,2,12--1990,3.781
08MF005,2,01--1991,3.554
08MF005,2,02--1991,4.077
08MF005,2,03--1991,3.638
08MF005,2,04--1991,4.832
08MF005,2,05--1991,6.748
08MF005,2,06--1991,7.345
08MF005,2,07--1991,7.002
08MF005,2,08--1991,5.923
08MF005,2,09--1991,4.907
08MF005,2,10--1991,4.086
08MF005,2,11--1991,3.923
08MF005,2,12--1991,3.679
08MF005,2,01--1992,3.666
08MF005,2,02--1992,3.748
08MF005,2,03--1992,4.237
08MF005,2,04--1992,5.065
08MF005,2,05--1992,6.190
08MF005,2,06--1992,6.829
08MF005,2,07--1992,5.649
08MF005,2,08--1992,4.806
08MF005,2,09--1992,4.371
08MF005,2,10--1992,4.546
08MF005,2,11--1992,4.215
08MF005,2,12--1992,3.443
08MF005,2,01--1993,3.796
08MF005,2,02--1993,3.164
08MF005,2,03--1993,3.270
08MF005,2,04--1993,4.352
08MF005,2,05--1993,6.612
08MF005,2,06--1993,
08MF005,2,07--1993,5.509
08MF005,2,08--1993,
08MF005,2,09--1993,
08MF005,2,10--1993,
08MF005,2,11--1993,
08MF005,2,12--1993,3.376
08MF005,2,01--1994,,
08MF005,2,02--1994,,
08MF005,2,03--1994,,
08MF005,2,04--1994,,
08MF005,2,05--1994,,
08MF005,2,06--1994,,
08MF005,2,07--1994,,
08MF005,2,08--1994,,
08MF005,2,09--1994,,
08MF005,2,10--1994,,
08MF005,2,11--1994,,
08MF005,2,12--1994,,
08MF005,2,01--1995,,
08MF005,2,02--1995,,
08MF005,2,03--1995,,
08MF005,2,04--1995,,
08MF005,2,05--1995,,
08MF005,2,06--1995,,
08MF005,2,07--1995,,
08MF005,2,08--1995,,
08MF005,2,09--1995,,
08MF005,2,10--1995,,
08MF005,2,11--1995,,
08MF005,2,12--1995,,
08MF005,2,01--1996,3.750
08MF005,2,02--1996,3.549
08MF005,2,03--1996,3.672
08MF005,2,04--1996,5.089
08MF005,2,05--1996,5.755
08MF005,2,06--1996,7.262
08MF005,2,07--1996,7.075
08MF005,2,08--1996,5.592
08MF005,2,09--1996,
08MF005,2,10--1996,4.517
08MF005,2,11--1996,4.305
08MF005,2,12--1996,
08MF005,2,01--1997,
08MF005,2,02--1997,3.513
08MF005,2,03--1997,3.644
08MF005,2,04--1997,4.765
08MF005,2,05--1997,7.602
08MF005,2,06--1997,
08MF005,2,07--1997,
08MF005,2,08--1997,5.983
08MF005,2,09--1997,4.764
08MF005,2,10--1997,5.279
08MF005,2,11--1997,4.769
08MF005,2,12--1997,3.878
08MF005,2,01--1998,
08MF005,2,02--1998,3.501
08MF005,2,03--1998,3.616
08MF005,2,04--1998,4.245
08MF005,2,05--1998,6.716
08MF005,2,06--1998,6.296
08MF005,2,07--1998,5.681
08MF005,2,08--1998,4.890
08MF005,2,09--1998,4.021
08MF005,2,10--1998,3.939
08MF005,2,11--1998,3.756
08MF005,2,12--1998,
08MF005,2,01--1999,3.380
08MF005,2,02--1999,3.266
08MF005,2,03--1999,3.279
08MF005,2,04--1999,4.611
08MF005,2,05--1999,6.417
08MF005,2,06--1999,8.374
08MF005,2,07--1999,8.303
08MF005,2,08--1999,6.549
08MF005,2,09--1999,5.000
08MF005,2,10--1999,4.319
08MF005,2,11--1999,4.581
08MF005,2,12--1999,4.007
08MF005,2,01--2000,3.427
08MF005,2,02--2000,3.281
08MF005,2,03--2000,3.249
08MF005,2,04--2000,4.380
08MF005,2,05--2000,5.882
08MF005,2,06--2000,7.255
08MF005,2,07--2000,7.138
08MF005,2,08--2000,5.551
08MF005,2,09--2000,5.002
08MF005,2,10--2000,4.360
08MF005,2,11--2000,4.223
08MF005,2,12--2000,3.324
08MF005,2,01--2001,3.274
08MF005,2,02--2001,3.003
08MF005,2,03--2001,2.920
08MF005,2,04--2001,3.678
08MF005,2,05--2001,5.484
08MF005,2,06--2001,6.718
08MF005,2,07--2001,6.365
08MF005,2,08--2001,5.657
08MF005,2,09--2001,4.413
08MF005,2,10--2001,4.020
08MF005,2,11--2001,4.104
08MF005,2,12--2001,3.486
08MF005,2,01--2002,3.454
08MF005,2,02--2002,3.227
08MF005,2,03--2002,2.995
08MF005,2,04--2002,4.143
08MF005,2,05--2002,6.569
08MF005,2,06--2002,8.564
08MF005,2,07--2002,7.240
08MF005,2,08--2002,5.076
08MF005,2,09--2002,4.652
08MF005,2,10--2002,4.513
08MF005,2,11--2002,3.850
08MF005,2,12--2002,3.390
08MF005,2,01--2003,3.190
08MF005,2,02--2003,3.143
